#options: 960x540 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:70 out:70 type:B dur:2 cpbdur:2 q:26.91 aq:21.95 tex:10189 mv:6921 misc:2010 imb:65 pmb:856 smb:1119 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:26.92 aq:22.29 tex:4951 mv:3306 misc:1703 imb:38 pmb:495 smb:1507 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:26.91 aq:22.34 tex:6064 mv:4451 misc:1861 imb:51 pmb:583 smb:1406 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:26.78 aq:21.34 tex:76568 mv:10151 misc:1449 imb:285 pmb:1258 smb:497 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:26.84 aq:22.11 tex:11585 mv:7036 misc:1955 imb:42 pmb:917 smb:1081 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:26.87 aq:22.22 tex:7003 mv:5419 misc:1906 imb:54 pmb:705 smb:1281 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:26.81 aq:21.97 tex:5931 mv:4778 misc:1803 imb:42 pmb:657 smb:1341 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:26.62 aq:21.24 tex:53758 mv:9318 misc:1532 imb:258 pmb:1255 smb:527 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:26.70 aq:21.74 tex:10547 mv:6060 misc:2057 imb:55 pmb:848 smb:1137 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:26.74 aq:21.77 tex:5439 mv:2138 misc:1599 imb:24 pmb:447 smb:1569 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:26.66 aq:21.96 tex:5879 mv:3624 misc:1817 imb:42 pmb:548 smb:1450 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:26.47 aq:21.22 tex:67337 mv:10877 misc:1474 imb:314 pmb:1246 smb:480 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:26.55 aq:22.08 tex:14952 mv:7880 misc:2104 imb:76 pmb:906 smb:1058 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:26.58 aq:21.88 tex:6478 mv:4963 misc:1903 imb:59 pmb:633 smb:1348 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:26.51 aq:21.83 tex:5975 mv:4153 misc:1736 imb:38 pmb:554 smb:1448 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:26.46 aq:21.54 tex:47239 mv:8539 misc:1622 imb:252 pmb:1167 smb:621 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:26.47 aq:21.97 tex:12963 mv:5791 misc:2046 imb:77 pmb:817 smb:1146 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:26.47 aq:22.07 tex:6609 mv:4445 misc:1898 imb:60 pmb:626 smb:1354 d:- ref:0 ;
